rowname,LMK Key,Local authority code,Property Type,Transaction Type,Tenure,Walls Description,Roof Description,Walls Energy Efficiency,Roof Energy Efficiency,Main Heat Description,Main Heat Energy Efficiency,Main Heat Environmental Efficiency,Main Fuel,Solar Water Heating,Construction Age Band,Current Energy Rating,Potential Energy Rating,CO2 Emissions Current,CO2 Emissions Potential,CO2 EMissions Current per floor area,Number of Habitable Rooms,Number of Heated Rooms,Photovoltaic Supply,Total Floor Area,Building Refernce number,Built Form,LSOA Code,MSOA Code,Latitude,Longitude,Index of Multiple Deprivation,Number of Properties (LSOA),Owned (LSOA),Social Rented (LSOA),Private Rented (LSOA),Date,Year,Month,IMD Decile,Nominal Construction Date,Local Authority,geo_point_2d
142468,1717658929402019050910272368410298,E06000023,Park home,none of the above,Social rented,"Park home wall, as built","Pitched, 200 mm loft insulation",Average,Good,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1996-2002,D,C,2.4,2.0,40,4,4,,60,6487324678,Detached,E01014611,E02003063,51.41062,-2.570086,21270,573,501,24,47,2019-05-09,2019,5,7,1999,"Bristol, City of","51.41062, -2.570086"
255909,8c72c5b593b245e4dacb03b5ca9b99eaf236b997dcdc028985c0326f21f28e57,E06000025,Park home,ECO assessment,Owner occupied,"Park home wall, with external insulation","Pitched, limited insulation (assumed)",Very Good,Poor,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1983-1990,C,C,1.9,1.8,45,3,3,0,42,10001791576,Detached,E01014879,E02003098,51.5458,-2.563252,32408,754,592,4,157,2021-12-06,2021,12,10,1986,South Gloucestershire,"51.5458, -2.563252"
256582,1796398474032020040711070558078507,E06000025,Park home,marketed sale,Owner occupied,"Park home wall, as built","Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, LPG",Very Poor,Good,bottled LPG,N,England and Wales: 2007 onwards,E,E,2.4,2.4,39,3,3,,62,7748599678,Detached,E01014861,E02003094,51.51753,-2.597767,14305,958,715,117,108,2020-04-07,2020,4,5,2007,South Gloucestershire,"51.51753, -2.597767"
257562,9b82a1261e61069840657a9bce34bda4c5212f8ad0162f072f2bd6a77dd4f38b,E06000025,Park home,not sale or rental,Owner occupied,"Park home wall, as built","Pitched, 50 mm loft insulation",Average,Poor,"Boiler and radiators, LPG",Poor,Good,LPG (not community),N,England and Wales: 1996-2002,F,E,4.1,3.0,50,4,4,0,82,10005662313,Detached,E01014994,E02003108,51.51805,-2.462788,15881,802,639,72,81,2024-02-12,2024,2,5,1999,South Gloucestershire,"51.51805, -2.462788"
259780,6de646d40d807f797911affd48413436a5156c528feab6e6c86f060eb737b080,E06000025,Park home,not sale or rental,Owner occupied,"Park home wall, with external insulation","Pitched, 100 mm loft insulation",Good,Average,"Boiler and radiators, LPG",Very Poor,Good,bottled LPG,N,England and Wales: 1996-2002,E,E,3.1,2.4,37,5,4,0,82,10002648158,Detached,E01014994,E02003108,51.51805,-2.462788,15881,802,639,72,81,2022-04-28,2022,4,5,1999,South Gloucestershire,"51.51805, -2.462788"
223655,bb854bfb30b3de5a20693f815abb966ac0c6eaf99780afb20c257ef36c19ac13,E06000025,Park home,not sale or rental,Owner occupied,"Park home wall, with external insulation","Pitched, 100 mm loft insulation",Very Good,Average,"Boiler and radiators, LPG",Poor,Good,LPG (not community),N,England and Wales: 1983-1990,E,D,2.3,1.9,46,3,3,0,51,10004884944,Detached,E01014972,E02003118,51.45415,-2.478651,24052,711,576,61,71,2024-03-12,2024,3,8,1986,South Gloucestershire,"51.45415, -2.478651"
131990,698ac4869cb0faeacba2ef8182b4789185001bc9ae54b81b8e97d0f4f5324c62,E06000023,Park home,Stock condition survey,Social rented,"Park home wall, as built","Pitched, 200 mm loft insulation",Average,Good,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1996-2002,C,C,2.2,1.9,36,4,4,0,61,10001619762,Detached,E01014501,E02003052,51.42938,-2.627352,7041,889,582,212,93,2021-08-10,2021,8,3,1999,"Bristol, City of","51.42938, -2.627352"
213463,1394175636412015120815483291059945,E06000025,Park home,marketed sale,Unknown,"Park home wall, as built","Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1996-2002,D,C,3.1,1.8,55,4,4,,57,9579611478,Detached,E01014902,E02003109,51.49784,-2.512802,32422,532,504,2,25,2015-12-08,2015,12,10,1999,South Gloucestershire,"51.49784, -2.512802"
213464,572daa7c92ca7f85baf22310369c9783c20319e9fbef822e2987578ed54292af,E06000025,Park home,marketed sale,Owner occupied,"Park home wall, as built","Flat, limited insulation (assumed)",Poor,Poor,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1983-1990,D,C,2.2,1.5,61,2,2,0,35,10004685520,Detached,E01014902,E02003109,51.49784,-2.512802,32422,532,504,2,25,2023-07-24,2023,7,10,1986,South Gloucestershire,"51.49784, -2.512802"
293995,1609478849202018022013430658682208,E06000024,Park home,ECO assessment,Owner occupied,"Park home wall, as built","Pitched, limited insulation (assumed)",Poor,Poor,"Boiler and radiators, LPG",Poor,Good,LPG (not community),N,England and Wales: 1983-1990,F,E,2.9,1.7,81,2,2,,36,7272346578,Detached,E01035215,E02006846,51.34014,-2.945345,6019,737,341,158,231,2018-02-20,2018,2,2,1986,North Somerset,"51.34014, -2.945345"
294714,eb0f268c00e1117b0a624c2f513d4ad17e52dcb1450dd3bbdc7996921483819c,E06000024,Park home,marketed sale,Owner occupied,"Park home wall, as built","Pitched, insulated (assumed)",Average,Average,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1996-2002,C,C,2.0,1.8,41,3,3,0,48,10004471944,Detached,E01014812,E02003081,51.35167,-2.940757,18007,684,562,27,88,2023-05-18,2023,5,6,1999,North Somerset,"51.35167, -2.940757"
231088,9c9257ad43e332a9355079d8dad03fcfe390430431a6fbe9e20b7e1abe6e2dda,E06000025,Park home,ECO assessment,Owner occupied,"Park home wall, with external insulation","Flat, limited insulation (assumed)",Very Good,Poor,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1983-1990,D,C,2.5,2.1,44,3,3,0,56,10002255614,Detached,E01014879,E02003098,51.54565,-2.562848,32408,754,592,4,157,2022-03-10,2022,3,10,1986,South Gloucestershire,"51.54565, -2.562848"
235232,b28cdd3f429a9a964cf3ff1a9b27da7b83239a70e378d157053421a9e858f290,E06000025,Park home,ECO assessment,Owner occupied,"Park home wall, with external insulation","Pitched, limited insulation (assumed)",Very Good,Poor,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1983-1990,C,C,2.2,2.0,36,3,3,0,60,10002919717,Detached,E01014879,E02003098,51.5468,-2.561923,32408,754,592,4,157,2022-06-07,2022,6,10,1986,South Gloucestershire,"51.5468, -2.561923"
235234,65b5375afac68e4f1868cd5aa5356fb5e2f7d8bde1092dcdc7bcfdbfee3a777d,E06000025,Park home,ECO assessment,Owner occupied,"Park home wall, with external insulation","Pitched, no insulation (assumed)",Very Good,Very Poor,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1976-1982,D,D,2.4,1.9,75,2,2,0,32,10001800371,Detached,E01014879,E02003098,51.5458,-2.563252,32408,754,592,4,157,2021-12-06,2021,12,10,1979,South Gloucestershire,"51.5458, -2.563252"
235235,4c303fb20cb3833b75d14585e6c666b8cc88bd322c10f59763c956f302fd3ef3,E06000025,Park home,ECO assessment,Owner occupied,"Park home wall, with external insulation","Flat, limited insulation (assumed)",Very Good,Poor,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1983-1990,D,C,1.7,1.6,43,3,3,0,41,10002219287,Detached,E01014879,E02003098,51.5458,-2.563252,32408,754,592,4,157,2022-03-07,2022,3,10,1986,South Gloucestershire,"51.5458, -2.563252"
235236,1d62533e6930bb87a2a200789b630dd4881c6439117d50689e3ca3ad77d80c2f,E06000025,Park home,ECO assessment,Owner occupied,"Park home wall, with external insulation","Flat, limited insulation (assumed)",Very Good,Poor,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1983-1990,D,C,3.6,2.1,61,4,4,0,59,10002155602,Detached,E01014879,E02003098,51.5458,-2.563252,32408,754,592,4,157,2022-03-10,2022,3,10,1986,South Gloucestershire,"51.5458, -2.563252"
235238,1433935799202016061611301943369458,E06000025,Park home,none of the above,Owner occupied,"Park home wall, as built","Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1976-1982,D,D,2.4,1.7,90,2,2,,27,8241893478,Detached,E01014879,E02003098,51.54565,-2.562848,32408,754,592,4,157,2016-06-16,2016,6,10,1979,South Gloucestershire,"51.54565, -2.562848"
235241,67da902aac6354aa6efc27e9f8dda7cc46764c9f2d490b8b55da51538025b495,E06000025,Park home,ECO assessment,Owner occupied,"Park home wall, with external insulation","Flat, limited insulation (assumed)",Very Good,Poor,"Boiler and radiators, LPG",Very Poor,Average,bottled LPG,N,England and Wales: 1983-1990,F,E,2.9,1.7,68,3,3,0,43,10002164345,Detached,E01014879,E02003098,51.54659,-2.562946,32408,754,592,4,157,2022-05-09,2022,5,10,1986,South Gloucestershire,"51.54659, -2.562946"
